;must_have;nice_to_have;work_methodology;equipment_supplied;specs;perks_in_the_office;benefits;url
88;['SQL', 'Postman', 'Polish', 'Communication skills', 'Critical thinking', 'Problem solving', 'ISTQB (knowledge)'];['REST', 'RWD', 'json', 'Team player'];['Integration tests', 'Tester(s)', 'Agile management', 'Issue tracking tool', 'Version control system', 'Manual tests', 'Database'];['Operating System', 'Computer', 'Monitors'];['Job profile', 'Start', 'Contract duration', 'Paid holiday', 'Part time work', 'Remote possible', 'Flexible hours', 'Travel involved', 'Freedom to choose tools'];['Free coffee', 'Bike parking', 'Playroom', 'Shower', 'Free parking', 'In-house trainings', 'No dress code'];['Sport subscription', 'Flat structure', 'Small teams', 'English lessons', 'Trainings', 'Emlplyee volunteering'];https://nofluffjobs.com/job/junior-manual-test-engineer-librus-sp-k-katowice-1zba5zlr
89;['C, C++', 'software testing', 'development experience', 'agile testing', 'English'];['Python', '.NET', 'Team player', 'Communication skills', 'Critical thinking', 'Problem solving', 'Proactivity'];['Tester(s)', 'Agile management', 'Issue tracking tool', 'Version control system'];['Operating System', 'Computer', 'Monitors'];['Job profile', 'Start', 'Contract duration', 'Paid holiday', 'Part time work', 'Remote possible', 'Flexible hours', 'Travel involved', 'Freedom to choose tools'];['Free coffee', 'Bike parking', 'Playroom', 'Mobile phone', 'In-house trainings', 'Modern office'];['Private healthcare', 'Flat structure', 'Small teams', 'International projects'];https://nofluffjobs.com/job/c-software-developer-tester-c-c-technology-poznan-nehxp7ug
90;['Java', 'Jenkins', 'JMeter', 'cucumber', 'XML', 'English', 'Communication skills', 'Problem solving', 'Proactivity'];['jira', 'confluence', 'Polish', 'Travel industry experience'];['Integration tests', 'Unit tests', 'Agile management', 'Issue tracking tool', 'Knowledge repository', 'Code reviews', 'Version control system', 'Build server'];['Operating System', 'Computer', 'Monitors'];['Job profile', 'Start', 'Contract duration', 'Paid holiday', 'Part time work', 'Remote possible', 'Flexible hours', 'Travel involved', 'Freedom to choose tools'];['Free coffee', 'Bike parking', 'Shower', 'Free snacks', 'Free beverages', 'No dress code'];['Sport subscription', 'Training budget', 'Private healthcare', 'Small teams', 'International projects'];https://nofluffjobs.com/job/quality-assurance-engineer-branchspace-krakow-ttpjmm1p
91;['Selenium', 'Java', 'SQL', 'JIRA'];['oracle', 'English', 'Polish', 'Team player', 'Communication skills', 'Problem solving'];['Integration tests', 'QA manager', 'Tester(s)', 'Agile management', 'Issue tracking tool', 'Knowledge repository', 'Build server'];['Operating System', 'Computer', 'Monitors'];['Job profile', 'Start', 'Contract duration', 'Paid holiday', 'Part time work', 'Remote possible', 'Flexible hours', 'Travel involved', 'Freedom to choose tools'];['Free coffee', 'Gym', 'Canteen', 'Bike parking', 'Playroom', 'Free snacks', 'Free beverages', 'In-house trainings', 'Modern office', 'No dress code'];['Sport subscription', 'Private healthcare', 'Flat structure', 'Small teams', 'International projects', 'Great atmosphere', 'Possibility to change projects', 'Impact on project', 'New technologies', 'Integration events'];https://nofluffjobs.com/job/qa-engineer-itds-polska-wroclaw-aiejaww3
92;['Java', 'big data', 'building test frameworks', 'Communication skills', 'Problem solving', 'Proactivity'];['python', 'scala', 'hadoop', 'spark', 'kafka'];['Agile management', 'Issue tracking tool', 'Knowledge repository', 'Code reviews', 'Pair programming', 'Build server'];['Operating System', 'Computer', 'Monitors'];['Job profile', 'Start', 'Contract duration', 'Paid holiday', 'Part time work', 'Remote possible', 'Flexible hours', 'Travel involved', 'Freedom to choose tools', 'Remote work'];['Free coffee', 'Gym', 'Bike parking', 'Playroom', 'Shower', 'In-house trainings', 'In-house hack days', 'Modern office', 'Startup atmosphere', 'No dress code'];['Private healthcare', 'Small teams', 'International projects'];https://nofluffjobs.com/job/senior-software-developer-in-test-akamai-technologies-krakow-5wvuooex
93;['.NET', 'REST', 'bdd', 'soapui', 'test automation', 'C#', 'English'];['specflow', 'fitnesse', 'selenium', 'sql'];['Integration tests', 'QA manager', 'Unit tests', 'Tester(s)', 'Agile management', 'Issue tracking tool', 'Code reviews', 'Version control system'];['Operating System'];['Job profile', 'Start', 'Contract duration', 'Paid holiday', 'Part time work', 'Remote possible', 'Flexible hours', 'Travel involved', 'Freedom to choose tools'];['Free coffee', 'Canteen', 'Free snacks', 'Free beverages', 'Modern office'];['Sport subscription', 'Private healthcare', 'Lunch card', 'Small teams', 'International projects', 'Life & group insurance'];https://nofluffjobs.com/job/senior-qa-automation-engineer-motife-krakow-5etgufjt
94;['JIRA', 'Practical experience in an industrial software testing ...', 'Familiarity with manual testing, incl. functional, inte...', 'Experience with bug tracking and workflow tools', 'Self-organized, attentive to details and naturally curi...'];['Postman', 'Some coding experience', 'English', 'Polish', 'Former exposure to agile methodologies (e.g., Scrum)'];['Unit tests', 'Tester(s)', 'Agile management', 'Issue tracking tool', 'Knowledge repository', 'Code reviews', 'Static code analysis', 'Version control system', 'Build server', 'Commit on the first day', 'Up and running within 2h'];['Operating System', 'Computer', 'Monitors'];['Start', 'Contract duration', 'Paid holiday', 'Part time work', 'Remote possible', 'Flexible hours', 'Travel involved', 'Freedom to choose tools'];['Free coffee', 'Bike parking', 'Playroom', 'Shower', 'Free snacks', 'Free parking', 'In-house hack days', 'Startup atmosphere', 'No dress code'];['Sport subscription', 'Training budget', 'Private healthcare', 'Flat structure', 'Small teams', 'International projects', 'Conference budgets', 'Team events'];https://nofluffjobs.com/job/software-tester-qa-engineer-smartpatient-warszawa-0bokygbh
95;['Selenium', 'Python'];['JIRA', 'Jenkins', 'Docker', 'Openshift', 'Kubernetes', 'Websocket', 'WebRTC', 'TestRail', 'Concourse'];['Integration tests', 'Tester(s)', 'Agile management', 'Issue tracking tool', 'Knowledge repository', 'Code reviews', 'Pair programming', 'Version control system', 'Build server'];['Operating System', 'Computer', 'Monitors'];['Job profile', 'Start', 'Contract duration', 'Paid holiday', 'Part time work', 'Remote possible', 'Flexible hours', 'Travel involved', 'Freedom to choose tools'];['Canteen', 'Bike parking', 'Free beverages', 'Free parking', 'In-house trainings', 'No dress code'];['Sport subscription', 'Private healthcare', 'International projects', 'Private insurance'];https://nofluffjobs.com/job/manual-test-engineer-motorola-solutions-systems-polska-czerwonemaki-90navaqm
96;['Java', 'Selenium', 'English', 'Polish'];['Git', 'Maven', 'Jenkins'];['Agile management', 'Issue tracking tool', 'Version control system', 'Build server'];['Operating System', 'Computer', 'Monitors'];['Job profile', 'Start', 'Contract duration', 'Paid holiday', 'Part time work', 'Remote possible', 'Flexible hours', 'Travel involved', 'Freedom to choose tools'];['Free coffee', 'Modern office'];['Sport subscription', 'Private healthcare'];https://nofluffjobs.com/job/test-automation-engineer-dahliamatic-warszawa-iztheipz
97;['Selenium', 'Java', 'groovy', 'Jmeter', 'Polish'];['English'];['Integration tests', 'Tester(s)', 'Agile management', 'Issue tracking tool', 'Version control system'];['Operating System', 'Computer', 'Monitors'];['Job profile', 'Start', 'Contract duration', 'Paid holiday', 'Part time work', 'Remote possible', 'Flexible hours', 'Travel involved', 'Freedom to choose tools'];['Free coffee', 'In-house trainings', 'No dress code'];['Sport subscription', 'Private healthcare', 'Small teams'];https://nofluffjobs.com/job/tester-irekruter-warszawa-dqsh5zqh
98;['Selenium', 'JIRA', 'Git', 'SoapUI/ IntelliJ', 'Team player', 'Communication skills', 'Problem solving'];['PL/SQL'];['Integration tests', 'Unit tests', 'Tester(s)', 'Agile management', 'Issue tracking tool'];['Operating System', 'Computer', 'Monitors'];['Job profile', 'Start', 'Contract duration', 'Paid holiday', 'Part time work', 'Remote possible', 'Flexible hours', 'Travel involved', 'Freedom to choose tools'];['Free coffee', 'Bike parking', 'Playroom', 'Shower', 'In-house trainings', 'Modern office', 'No dress code'];['Training budget', 'Private healthcare', 'Elastic benefit system', 'Integration events'];https://nofluffjobs.com/job/qa-tester-develocraft-sopot-fu0btu5m
99;['.NET', 'Cucumber', 'SpecFlow', 'C#', 'Selenium RemoteWebDriver', 'English', 'Polish'];['Bash', 'Docker', 'Ansible', 'HTML', 'CSS', 'JS'];['Integration tests', 'QA manager', 'Unit tests', 'Tester(s)', 'Agile management', 'Issue tracking tool', 'Knowledge repository', 'Version control system', 'Build server'];['Operating System', 'Computer', 'Monitors'];['Job profile', 'Start', 'Contract duration', 'Paid holiday', 'Part time work', 'Remote possible', 'Flexible hours', 'Travel involved', 'Freedom to choose tools'];['Free coffee', 'In-house trainings', 'Modern office', 'No dress code'];['Training budget', 'Small teams', 'International projects'];https://nofluffjobs.com/job/test-automation-engineer-winged-it-warszawa-un2ykjiq
100;['Linux', 'Docker', 'system security', 'mysql', 'GitLab', 'Apache Spark', 'At least one programming language', 'kubernetes', 'xen', 'Critical thinking'];['Nginx', 'data backup/recovery', 'Communication skills'];['Agile management', 'Issue tracking tool', 'Knowledge repository', 'Virtualization', 'Cloud infrastructure', 'Operating system', 'Version control system', 'Databases'];['Operating System', 'Computer', 'Monitors'];['Start', 'Contract duration', 'Paid holiday', 'Part time work', 'Remote possible', 'Flexible hours', 'Travel involved', 'Freedom to choose tools'];['Free coffee', 'Canteen', 'Bike parking', 'Shower', 'Free snacks', 'Free beverages', 'Free parking', 'In-house trainings', 'Kitchen'];['Small teams', 'Team Events', 'Conference budget'];https://nofluffjobs.com/job/senior-devops-remote-reality-games-6qo3gtim
101;['Docker', 'Jenkins', 'Git', 'Nexus', 'Kubernetes'];['React', 'Redux', 'Bootstrap', 'HTML5', 'CSS3', 'Java', 'Spring Boot', 'Spring Security', 'Spring Data', 'Spring Kafka', 'PostgreSQL11', 'Google Cloud'];['Agile management', 'Issue tracking tool', 'Knowledge repository', 'Virtualization', 'Network virtualization', 'Provisioning', 'Cloud infrastructure', 'Operating system', 'Networking hardware', 'Security', 'Application stack', 'Version control system', 'Databases'];['Operating System', 'Computer', 'Monitors'];['Job profile', 'Start', 'Contract duration', 'Paid holiday', 'Part time work', 'Remote possible', 'Flexible hours', 'Travel involved', 'Freedom to choose tools'];['Free coffee', 'Modern office', 'Startup atmosphere', 'No dress code'];['Sport subscription', 'Training budget', 'Private healthcare', 'Small teams', 'International projects'];https://nofluffjobs.com/job/devops-engineer-in-logistics-winged-it-warsaw-cehscepf
102;['Linux', 'Docker', 'Python', 'AWS', 'Ansible', 'Git', 'RedHat/CentOS', 'GitLab', 'Kubernetes'];['Experience designing scalable, high availability system...', 'Experience with collecting and analyzing performance me...', 'Knowledge of relational and non-relational databases'];['Agile management', 'Knowledge repository', 'Virtualization', 'Cloud infrastructure', 'Operating system', 'Databases'];['Operating System', 'Computer', 'Monitors'];['Job profile', 'Start', 'Contract duration', 'Paid holiday', 'Part time work', 'Remote possible', 'Flexible hours', 'Travel involved', 'Freedom to choose tools'];['Free coffee', 'Bike parking', 'Playroom', 'Free snacks', 'Free beverages', 'In-house trainings', 'Modern office', 'Startup atmosphere', 'No dress code', 'Free breakfast'];['Sport subscription', 'Training budget', 'Private healthcare', 'Flat structure', 'Small teams'];https://nofluffjobs.com/job/devops-engineer-nethone-warsaw-9juiviwu
103;['Linux', 'Docker', 'Team player', 'Communication skills', 'Proactivity'];['Python', 'AWS', 'Ansible', 'Jenkins', 'Git', 'Puppet', 'Terraform', 'Nginx', 'Azure', 'javascript', 'Kubernetes'];['Agile management', 'Issue tracking tool', 'Knowledge repository', 'Virtualization', 'Operating system', 'Version control system', 'Databases'];['Operating System', 'Computer', 'Monitors'];['Job profile', 'Start', 'Contract duration', 'Paid holiday', 'Part time work', 'Remote possible', 'Flexible hours', 'Travel involved', 'Freedom to choose tools'];['Free coffee', 'Bike parking', 'Shower', 'Free parking', 'Startup atmosphere', 'No dress code', 'Milk & apples'];['Flat structure', 'Small teams', 'International projects'];https://nofluffjobs.com/job/devops-engineer-ppu-omega-gdansk-eblcrpym
104;['Linux', 'Docker', 'Python', 'Shell', 'Ansible', 'Git', 'Nginx', 'Virtualization', 'Nagios', 'MySQL', 'bash', 'kafka', 'Spark', 'Cassandra', 'Hadoop', 'English', 'Communication skills', 'Problem solving', 'Proactivity'];['Apache', 'Marathon', 'Mesos', 'Kubernetes', 'Check_MK', 'HAProxy', 'MooseFS', 'ZooKeeper', 'etcd'];['Issue tracking tool', 'Knowledge repository', 'Virtualization', 'Provisioning', 'Security', 'Application stack', 'Version control system', 'Databases', 'Operating systems'];['Operating System', 'Computer', 'Monitors'];['Start', 'Contract duration', 'Paid holiday', 'Part time work', 'Remote possible', 'Flexible hours', 'Travel involved', 'Freedom to choose tools'];['Free coffee', 'Canteen', 'Bike parking', 'Playroom', 'Shower', 'Free snacks', 'Free beverages', 'Kitchen', 'Play room'];['Sport subscription', 'Training budget', 'In-house trainings', 'In-house hack days', 'Conference budget', 'Team Events', 'Private health care'];https://nofluffjobs.com/job/big-data-devops-lead-iiit-warszawa-eqpl5dca
105;['Linux', 'Docker', 'Shell', 'Ansible', 'Git', 'Nginx', 'Virtualization', 'Nagios', 'MySQL', 'bash', 'English', 'Communication skills', 'Problem solving', 'Proactivity'];['Python', 'Apache', 'Kafka', 'Spark', 'Cassandra', 'Marathon', 'Mesos', 'Hadoop', 'Kubernetes', 'Check_MK', 'HAProxy'];['Issue tracking tool', 'Knowledge repository', 'Virtualization', 'Provisioning', 'Security', 'Application stack', 'Version control system', 'Databases', 'Operating systems'];['Operating System', 'Computer', 'Monitors'];['Start', 'Contract duration', 'Paid holiday', 'Part time work', 'Remote possible', 'Flexible hours', 'Travel involved', 'Freedom to choose tools'];['Free coffee', 'Canteen', 'Bike parking', 'Playroom', 'Shower', 'Free snacks', 'Free beverages', 'Kitchen', 'Play room'];['Sport subscription', 'Training budget', 'In-house trainings', 'In-house hack days', 'Conference budget', 'Team Events', 'Private health care'];https://nofluffjobs.com/job/big-data-devops-engineer-iiit-warszawa-y3mmozpk
106;['Linux', 'Docker', 'AWS', 'Git', 'Bash', 'English', 'Team player', 'Communication skills', 'Critical thinking', 'Problem solving'];['Python', 'Ansible', 'Jenkins', 'Puppet', 'Terraform', 'Nginx', 'MySQL', 'PostgreSQL', 'MongoDB', 'Understanding of the Continuous Delivery and Continuous...', 'Java environment understanding', 'Deep understanding of the Linux operating system', 'Kubernetes', 'Google Cloud Platform', 'GoLang', 'ELK', 'Packer', 'Prometheus', 'Proactivity', 'Ability to solve network and application issues', 'Growth mindset and willingness to learn', 'Excellent communication skills with fluent English so y...'];['Agile management', 'Issue tracking tool', 'Knowledge repository', 'Virtualization', 'Network virtualization', 'Provisioning', 'Cloud infrastructure', 'Operating system', 'Application stack', 'Version control system', 'Databases'];['Operating System', 'Computer', 'Monitors'];['Start', 'Contract duration', 'Paid holiday', 'Part time work', 'Remote possible', 'Flexible hours', 'Travel involved', 'Freedom to choose tools'];['Free coffee', 'Canteen', 'Bike parking', 'Playroom', 'Shower', 'Free snacks', 'Free beverages', 'Free parking', 'In-house trainings', 'Modern office', 'Startup atmosphere', 'No dress code', 'Kitchen', 'Play room'];['Training budget', 'In-house trainings', 'In-house hack days', 'Conference budget', 'Team Events', 'Mobile phone'];https://nofluffjobs.com/job/junior-regular-devops-scalac-gdansk-lyhvwqkf
107;['Docker', 'Python', 'Shell', 'Git', 'CMake / Make', 'Continuous integration', 'English', 'Communication skills'];['Linux', 'AWS', 'Azure', 'Windows', 'BuildRoot', 'Yocto', 'PowerShell'];['Agile management', 'Issue tracking tool', 'Knowledge repository', 'Virtualization', 'Cloud infrastructure', 'Operating system', 'Application stack', 'Version control system'];['Operating System', 'Computer', 'Monitors'];['Start', 'Contract duration', 'Paid holiday', 'Part time work', 'Remote possible', 'Flexible hours', 'Travel involved', 'Freedom to choose tools'];['Free coffee', 'Bike parking', 'Playroom', 'Shower', 'Free snacks', 'Free beverages', 'In-house trainings', 'Modern office', 'No dress code'];['Sport subscription', 'Private healthcare', 'Flat structure', 'International projects'];https://nofluffjobs.com/job/devops-engineer-thaumatec-wroclaw-47ermq4p
108;['Linux', 'Docker', 'Ansible', 'Git', 'MySQL', 'Bash', 'CI/CD', 'English', 'Polish'];['AWS', 'Jenkins', 'Terraform', 'Azure', 'Kubernetes', 'Go', 'Prometheus', 'Grafana'];['Agile management', 'Issue tracking tool', 'Knowledge repository', 'Virtualization', 'Provisioning', 'Cloud infrastructure', 'Operating system', 'Security', 'Version control system', 'Databases'];['Operating System', 'Computer', 'Monitors'];['Start', 'Contract duration', 'Paid holiday', 'Part time work', 'Remote possible', 'Flexible hours', 'Travel involved', 'Freedom to choose tools'];['Free coffee', 'Bike parking', 'Playroom', 'Shower', 'In-house trainings', 'Modern office', 'Startup atmosphere', 'No dress code'];['Training budget', 'Private healthcare', 'Flat structure', 'Small teams'];https://nofluffjobs.com/job/devops-engineer-piwik-pro-wroclaw-ug5npnjj
109;['Linux', 'Docker', 'AWS', 'Jenkins', 'Git', 'Terraform', 'Apache', 'English', 'Polish'];['Python', 'Ansible', 'Kubernetes', 'NoSQL', 'Bash'];['Agile management', 'Issue tracking tool', 'Knowledge repository', 'Provisioning', 'Cloud infrastructure', 'Operating system', 'Version control system', 'Databases'];['Operating System', 'Computer', 'Monitors'];['Job profile', 'Start', 'Contract duration', 'Paid holiday', 'Part time work', 'Remote possible', 'Flexible hours', 'Travel involved', 'Freedom to choose tools'];['Free coffee', 'Canteen', 'Bike parking', 'Playroom', 'Free snacks', 'Free beverages', 'Free lunch', 'Free parking', 'In-house trainings', 'Modern office', 'Startup atmosphere', 'No dress code', 'Free breakfast'];['Sport subscription', 'Training budget', 'Private healthcare', 'International projects'];https://nofluffjobs.com/job/sysops-cloud-engineer-remote-10clouds-9lqtihp5
110;['Linux', 'Docker', 'AWS', 'Git', 'CI/CD (preferably Jenkins)', 'English', 'Polish', 'Team player', 'Leadership skills', 'Problem solving', 'Proactivity'];['Python', 'Terraform', 'Kubernetes', 'Go', 'Bash'];['Agile management', 'Issue tracking tool', 'Knowledge repository', 'Provisioning', 'Cloud infrastructure', 'Operating system', 'Application stack', 'Version control system', 'Databases'];['Operating System', 'Computer', 'Monitors'];['Start', 'Contract duration', 'Paid holiday', 'Part time work', 'Remote possible', 'Flexible hours', 'Travel involved', 'Freedom to choose tools'];['Free coffee', 'Canteen', 'Bike parking', 'Playroom', 'Free snacks', 'Free beverages', 'Free lunch', 'Free parking', 'In-house trainings', 'Modern office', 'Startup atmosphere', 'No dress code', 'Free breakfast'];['Sport subscription', 'Training budget', 'Private healthcare', 'International projects'];https://nofluffjobs.com/job/lead-cloud-engineer-remote-10clouds-bgiemkmx
111;['Docker', 'Kubernetes', 'SDLC', 'CI/CD', 'DDD', 'SAF', 'Scrum', 'English', 'Polish'];['AI/ML', 'Team player', 'Communication skills', 'Proactivity'];['Agile management', 'Issue tracking tool', 'Knowledge repository', 'Virtualization', 'Network virtualization', 'Operating system', 'Version control system', 'Databases'];['Operating System', 'Computer', 'Monitors'];['Job profile', 'Start', 'Contract duration', 'Paid holiday', 'Part time work', 'Remote possible', 'Flexible hours', 'Travel involved', 'Freedom to choose tools'];['Free coffee', 'Bike parking', 'Shower', 'Startup atmosphere', 'No dress code'];['Sport subscription', 'Private healthcare', 'Flat structure', 'Small teams', 'International projects'];https://nofluffjobs.com/job/system-architect-applica-warszawa-mvsqkzz0
112;['Python', 'AWS', 'Terraform', 'CloudFormation', 'DynamoDB', 'RDS', 'SQS', 'Elastic Beanstalk', 'ELB', 'EC2', 'Route53', 'CloudFront', 'CloudWatch', 'IAM', 'Windows & Linux server and open source web server (Apac...', 'PowerShell', 'Bash', 'Ruby', 'Automation', 'Ansible ICM', 'Cloud Deployment', 'DNS', 'OMS', 'SSL', 'English', 'Release Workflows', 'IP networking'];['Jenkins', 'Git', 'Nagios', 'Experience with other Cloud providers like Google Cloud...', 'Azure DevOps', 'Splunk', 'Dynatrace', 'Microsoft Azure Cloud', 'Azure Resources', 'Autoscaling', 'Redis Cache', 'Azure IaaS (v2/ARM)', 'VNET', 'Azure Application services', 'AKS'];['Network virtualization', 'Provisioning', 'Cloud infrastructure', 'Operating system'];['Operating System', 'Computer', 'Monitors'];['Start', 'Contract duration', 'Paid holiday', 'Part time work', 'Remote possible', 'Flexible hours', 'Travel involved', 'Freedom to choose tools'];['Free coffee', 'Canteen', 'Playroom', 'Mobile phone', 'In-house trainings', 'No dress code', 'comfortable working environment with Herbalife food, drinks and game corner'];['Sport subscription', 'Private healthcare', 'International projects', 'Private insurance', 'entertainment events'];https://nofluffjobs.com/job/cloud-infrastructure-engineer-hn-global-business-services-center-krakow-krakow-4cenlxct
113;['AWS', 'Jenkins', 'Azure', 'Infrastructure as a Code', 'Pipeline as a Code using Jenkins', 'CI/CD', 'Artifactory', 'SonarQube', 'DevSecOps', 'Monitoring as a Service', 'Logging as a Service', 'English'];[];['Agile management', 'Cloud infrastructure', 'Operating system', 'Security'];['Operating System', 'Computer', 'Monitors'];['Job profile', 'Start', 'Contract duration', 'Paid holiday', 'Part time work', 'Remote possible', 'Flexible hours', 'Travel involved', 'Relocation package', 'Freedom to choose tools'];[];['Sport subscription', 'Private healthcare'];https://nofluffjobs.com/job/devsecops-engineer-prodata-consult-wroclaw-il0afuxq
114;['Linux', 'Hardware', 'Networks'];['Puppet', 'Nginx', 'Big Data', 'Cumulus Linux', 'Hadoop', 'Kafka', 'Haproxy', 'GPU (Cuda, Torch)', 'Solr', 'Elasticsearch', 'Aerospike', 'Hbase', 'Kubernetes', 'PVE', 'Ceph', 'Polish'];['Agile management', 'Issue tracking tool', 'Knowledge repository', 'Virtualization', 'Network virtualization', 'Provisioning', 'Cloud infrastructure', 'Networking hardware', 'Security', 'Application stack', 'Version control system', 'Databases', 'Operating systems'];['Operating System', 'Computer', 'Monitors'];['Start', 'Contract duration', 'Paid holiday', 'Part time work', 'Remote possible', 'Flexible hours', 'Travel involved', 'Freedom to choose tools'];['Free coffee', 'Canteen', 'Bike parking', 'Playroom', 'Shower', 'Free snacks', 'Free beverages', 'In-house trainings', 'Startup atmosphere', 'No dress code', 'Kitchen', 'Play room'];['Training budget', 'Flat structure', 'International projects', 'In-house trainings', 'Team Events'];https://nofluffjobs.com/job/system-administrator-rtb-house-warsaw-vcjeds5v
115;['Docker', 'Ansible', 'windows', 'Kubernetes', 'windows server (including 2019)', 'Active Directory', 'Powershell', 'DHCP', 'DNS', 'TCP', 'NLB', 'ALB', 'English', 'Team player', 'Communication skills', 'Critical thinking', 'Network management'];['AWS', 'Azure', 'Splunk', 'Dynatrace', 'ms sql'];['Virtualization', 'Provisioning', 'Cloud infrastructure', 'Operating system'];['Operating System', 'Computer', 'Monitors'];['Job profile', 'Start', 'Contract duration', 'Paid holiday', 'Part time work', 'Remote possible', 'Flexible hours', 'Travel involved', 'Freedom to choose tools'];['Free coffee', 'Playroom', 'Shower', 'Free parking', 'In-house trainings', 'Modern office', 'Startup atmosphere', 'No dress code'];['Sport subscription', 'Private healthcare', 'International projects'];https://nofluffjobs.com/job/cloudops-engineer-mindbox-krakow-uk8aq1mq
116;['.NET', 'C#', 'sql', 'Powershell', 'English', 'Polish', 'Team player', 'Communication skills', 'Problem solving', 'Proactivity'];['aws', 'javascript'];['Agile management', 'Issue tracking tool', 'Knowledge repository', 'Virtualization', 'Network virtualization', 'Cloud infrastructure', 'Operating system', 'Version control system', 'Databases'];['Operating System', 'Computer', 'Monitors'];['Start', 'Contract duration', 'Paid holiday', 'Part time work', 'Remote possible', 'Flexible hours', 'Travel involved', 'Freedom to choose tools'];['Free coffee', 'Modern office', 'Startup atmosphere', 'No dress code'];['Sport subscription', 'Training budget', 'Private healthcare', 'Small teams', 'International projects'];https://nofluffjobs.com/job/devops-engineer-northmill-bank-ab-katowice-ta8ed668
117;['Python', 'Django', 'Linux', 'REST', 'Docker', 'English', 'Polish'];['Git'];['Agile management', 'Issue tracking tool', 'Knowledge repository', 'Provisioning'];['Operating System'];['Job profile', 'Start', 'Contract duration', 'Paid holiday', 'Part time work', 'Remote possible', 'Flexible hours', 'Travel involved', 'Freedom to choose tools'];[];['Sport subscription', 'Private healthcare', 'International projects'];https://nofluffjobs.com/job/devops-engineer-collabera-poland-wroclaw-cvlraaqo
118;['Linux', 'Docker', 'unix', 'English', 'Public Clouds'];[];['Agile management', 'Issue tracking tool', 'Knowledge repository', 'Operating system'];['Operating System', 'Computer'];['Job profile', 'Start', 'Contract duration', 'Paid holiday', 'Part time work', 'Remote possible', 'Flexible hours', 'Travel involved', 'Freedom to choose tools'];['Free coffee', 'Playroom', 'Free snacks', 'Modern office', 'Startup atmosphere', 'No dress code', 'Free breakfast'];['Training budget', 'Private healthcare', 'International projects'];https://nofluffjobs.com/job/solution-architect-netguru-poznan-n6a4rxsa
119;['Docker', 'Azure', 'Azure DevOps', 'Automation Scripts', 'sql server', 'Windows server', 'Microsoft Azure PaaS', 'Powershell', 'test', 'English', 'Team player'];['Python', 'Puppet', 'ITIL', 'Communication skills'];['Agile management', 'Knowledge repository', 'Virtualization', 'Network virtualization', 'Cloud infrastructure', 'Operating system', 'Security', 'Application stack', 'Version control system', 'Databases'];['Operating System', 'Computer', 'Monitors'];['Start', 'Contract duration', 'Paid holiday', 'Part time work', 'Remote possible', 'Flexible hours', 'Travel involved', 'Freedom to choose tools'];['Free coffee', 'Gym', 'Bike parking', 'Shower', 'In-house trainings', 'Modern office', 'No dress code', 'Swimming pool', 'Parking'];['Sport subscription', 'Training budget', 'Private healthcare', 'Flat structure', 'Small teams', 'International projects'];https://nofluffjobs.com/job/azure-cloud-automation-ninja-omada-warsaw-ozhgyfyc
