;must_have;nice_to_have;work_methodology;equipment_supplied;specs;perks_in_the_office;benefits;url
64;['C++', 'Linux', 'Git', 'Windows', 'TDD', 'English'];['Qt', 'Python', 'TCP/IP', 'GTK', 'Embedded GPU', 'V4L', 'STM', 'Tiva', 'Buildroot', 'TeamCity'];['QA manager', 'Unit tests', 'Tester(s)', 'Agile management', 'Issue tracking tool', 'Knowledge repository', 'Code reviews', 'Version control system'];['Operating System', 'Computer', 'Monitors'];['Start', 'Contract duration', 'Paid holiday', 'Part time work', 'Remote possible', 'Flexible hours', 'Travel involved', 'Freedom to choose tools'];['Free coffee', 'Bike parking', 'Playroom', 'Shower', 'Free snacks', 'Free beverages', 'In-house trainings', 'Modern office', 'No dress code'];['Sport subscription', 'Private healthcare', 'Flat structure', 'Lunch card', 'Small teams', 'International projects'];https://nofluffjobs.com/job/c-software-developer-thaumatec-wroclaw-qfacq56o
65;['C++', 'C', 'Git', 'Embedded software', 'Embedded systems', 'RTOS', 'MCU / bare metal', 'English', 'IoT communication protocol stacks'];['Linux', 'Buildroot', 'Yocto', 'python', 'IPC', 'test driven development', 'multithreaded programming'];['Integration tests', 'QA manager', 'Unit tests', 'Tester(s)', 'Agile management', 'Issue tracking tool', 'Knowledge repository', 'Code reviews', 'Version control system', 'Build server'];['Operating System', 'Computer', 'Monitors'];['Start', 'Contract duration', 'Paid holiday', 'Part time work', 'Remote possible', 'Flexible hours', 'Travel involved', 'Freedom to choose tools'];['Free coffee', 'Bike parking', 'Playroom', 'Shower', 'Free snacks', 'Free beverages', 'Free parking', 'In-house trainings', 'Modern office', 'No dress code'];['Sport subscription', 'Private healthcare', 'Flat structure', 'Small teams', 'International projects'];https://nofluffjobs.com/job/embedded-c-c-software-developer-thaumatec-wroclaw-l9advus5
66;['Swift', 'Git', 'Xcode', 'CocoaPods', 'iOS SDK', 'ios', 'OOP', 'POP', 'design patterns'];['fastlane', 'Realm', 'Xcode Instruments', 'unit test', 'English', 'Polish', 'Communication skills', 'Problem solving', 'Proactivity'];['Unit tests', 'Tester(s)', 'Agile management', 'Issue tracking tool', 'Knowledge repository', 'Code reviews', 'Pair programming', 'Static code analysis', 'Version control system', 'Build server', 'One command build possible', 'Up and running within 2h'];['Operating System', 'Computer', 'Monitors'];['Job profile', 'Start', 'Contract duration', 'Paid holiday', 'Part time work', 'Remote possible', 'Flexible hours', 'Travel involved', 'Relocation package', 'Freedom to choose tools'];['Free coffee', 'Bike parking', 'Free snacks', 'Free beverages', 'No dress code', 'Free breakfast', 'Kitchen', 'restaurant in building'];['Sport subscription', 'Training budget', 'In-house trainings', 'Conference budget', 'Team Events', 'Private health care'];https://nofluffjobs.com/job/ios-developer-qpony-pl-remote-xhbvwfqp
67;['ios', 'Git (GitFlow)', 'Native iOS framework', 'Swift 5/Objective-C', 'REST API', 'AppStore Connect (Release handling, Store handling)', 'English', 'Team player'];['Jenkins', 'fastlane', 'Firebase', 'Azure Devops (TFS/VSTS)', 'Scripting', 'Charles Proxy', 'large enterprise', 'Ruby', 'banking', 'Agile', 'distributed teams'];['Agile management', 'Issue tracking tool', 'Knowledge repository', 'Code reviews', 'Version control system', 'Build server'];['Operating System', 'Computer', 'Monitors'];['Job profile', 'Start', 'Contract duration', 'Paid holiday', 'Part time work', 'Remote possible', 'Flexible hours', 'Travel involved', 'Relocation package', 'Freedom to choose tools'];['Free coffee', 'Canteen', 'Bike parking', 'Playroom', 'Shower', 'No dress code'];['Sport subscription', 'Private healthcare', 'Small teams', 'International projects'];https://nofluffjobs.com/job/ios-developer-prodata-consult-warszawa-iiu0lwqf
68;['Gradle', 'android', 'Native Android framework', 'Android Studio', 'Git (GitFlow)', 'Google Play (Release handling, Store handling)', 'English', 'Team player'];['Jenkins', 'Firebase', 'Azure Devops (TFS/VSTS)', 'Scripting', 'Charles Proxy', 'large enterprise', 'banking', 'Agile', 'distributed teams'];['Agile management', 'Issue tracking tool', 'Knowledge repository', 'Code reviews', 'Version control system', 'Build server'];['Operating System', 'Computer', 'Monitors'];['Job profile', 'Start', 'Contract duration', 'Paid holiday', 'Part time work', 'Remote possible', 'Flexible hours', 'Travel involved', 'Relocation package', 'Freedom to choose tools'];['Free coffee', 'Canteen', 'Bike parking', 'Playroom', 'Shower', 'No dress code'];['Sport subscription', 'Private healthcare', 'Small teams', 'International projects'];https://nofluffjobs.com/job/android-developer-prodata-consult-warszawa-ymdmr0j9
69;['Kotlin', 'Git', 'REST', 'android', 'tdd', 'Team player', 'Communication skills', 'Critical thinking', 'Proactivity'];['Flutter', 'React Native'];['Integration tests', 'Unit tests', 'Tester(s)', 'Agile management', 'Issue tracking tool', 'Knowledge repository', 'Code reviews', 'Version control system', 'Build server'];['Operating System', 'Computer', 'Monitors'];['Job profile', 'Start', 'Contract duration', 'Paid holiday', 'Part time work', 'Remote possible', 'Flexible hours', 'Travel involved', 'Freedom to choose tools'];['Free coffee', 'In-house trainings', 'Startup atmosphere', 'No dress code'];['Training budget', 'Flat structure', 'Small teams', 'International projects'];https://nofluffjobs.com/job/senior-android-with-flutter-developer-allbright-io-warszawa-7pxhcpke
70;['C++', 'c', 'DSP', 'fix-point arithmetic', 'assembler', 'embedded', 'English'];['Python', 'machine learning', 'Team player', 'Communication skills'];['Integration tests', 'Unit tests', 'Agile management', 'Issue tracking tool', 'Knowledge repository', 'Code reviews', 'Static code analysis', 'Version control system', 'Build server'];['Operating System', 'Computer', 'Monitors'];['Job profile', 'Start', 'Contract duration', 'Paid holiday', 'Part time work', 'Remote possible', 'Flexible hours', 'Travel involved', 'Freedom to choose tools'];['Free coffee', 'Canteen', 'Bike parking', 'Playroom', 'Modern office', 'Startup atmosphere', 'No dress code'];['Sport subscription', 'Training budget', 'Private healthcare', 'Flat structure', 'Small teams', 'International projects'];https://nofluffjobs.com/job/audio-algorithm-optimisation-engineer-seven-sensing-software-warszawa-w5yzjk3u
71;['c', 'Windows Drivers', 'English', 'Team player', 'Communication skills', 'Critical thinking', 'Problem solving', 'Proactivity'];[];['Unit tests', 'Issue tracking tool', 'Knowledge repository', 'Code reviews', 'Version control system', 'High level and low level designs', 'Feature development and porting'];['Operating System', 'Computer', 'Monitors'];['Job profile', 'Start', 'Contract duration', 'Paid holiday', 'Part time work', 'Remote possible', 'Flexible hours', 'Travel involved', 'Relocation package', 'Freedom to choose tools'];['Free coffee', 'Canteen', 'Playroom', 'Shower', 'Free snacks', 'Free beverages', 'Modern office', 'No dress code'];['Sport subscription', 'Private healthcare', 'International projects'];https://nofluffjobs.com/job/windows-driver-development-engineer-mobica-limited-warsaw-d9rpldaj
72;['Java', 'Kotlin', 'Git', 'REST', 'RxJava', 'Dagger', 'Gradle', 'MVVM', 'android', 'English'];[];['Unit tests', 'Agile management', 'Issue tracking tool', 'Knowledge repository', 'Code reviews', 'Version control system', 'Build server'];['Operating System'];['Job profile', 'Start', 'Contract duration', 'Paid holiday', 'Part time work', 'Remote possible', 'Flexible hours', 'Travel involved', 'Freedom to choose tools'];['Free coffee', 'Canteen', 'Bike parking', 'Shower', 'Free snacks', 'Mobile phone', 'In-house trainings', 'Modern office', 'No dress code'];['Sport subscription', 'Training budget', 'Private healthcare', 'Small teams', 'Employee Referral Program process'];https://nofluffjobs.com/job/junior-android-developer-cpl-jobs-warsaw-gfyey9wo
73;['Swift', 'Git', 'Xcode', 'MVVM', 'ios', 'design patterns', 'English', 'Team player', 'Communication skills', 'SOLID principles'];['REST', 'Objective-C'];['Unit tests', 'Agile management', 'Issue tracking tool', 'Knowledge repository', 'Code reviews', 'Version control system', 'Build server'];['Operating System', 'Computer', 'Monitors'];['Start', 'Contract duration', 'Paid holiday', 'Part time work', 'Remote possible', 'Flexible hours', 'Travel involved', 'Freedom to choose tools'];['Free coffee', 'Bike parking', 'Shower', 'Free beverages', 'Modern office', 'No dress code'];['Training budget', 'Private healthcare', 'Flat structure', 'Small teams', 'Possible to work from Stockholm HQ', 'Stock options'];https://nofluffjobs.com/job/ios-developer-preglife-krakow-gs6gqbcn
74;['Java', 'Kotlin', 'Android'];['iOS', 'React Native'];['Integration tests', 'Unit tests', 'Agile management', 'Issue tracking tool', 'Knowledge repository', 'Code reviews', 'Static code analysis', 'Version control system', 'Build server'];['Operating System'];['Start', 'Contract duration', 'Paid holiday', 'Part time work', 'Remote possible', 'Flexible hours', 'Travel involved', 'Freedom to choose tools'];['Free coffee', 'Playroom', 'Free snacks', 'Free beverages', 'In-house trainings', 'Modern office', 'Startup atmosphere', 'No dress code', 'Free breakfast'];['Sport subscription', 'Training budget', 'Private healthcare', 'Flat structure', 'Small teams', 'International projects', 'Conference budget', 'Flexible working hours', 'Team events'];https://nofluffjobs.com/job/android-developer-software-mansion-krakow-ho3fykgd
75;['React native', 'React', 'JavaScript', 'English'];['Android', 'iOS'];['Integration tests', 'Unit tests', 'Agile management', 'Issue tracking tool', 'Knowledge repository', 'Code reviews', 'Pair programming', 'Static code analysis', 'Version control system', 'Build server'];['Operating System'];['Start', 'Contract duration', 'Paid holiday', 'Part time work', 'Remote possible', 'Flexible hours', 'Travel involved', 'Freedom to choose tools'];['Free coffee', 'Playroom', 'Free snacks', 'Free beverages', 'In-house trainings', 'Modern office', 'Startup atmosphere', 'No dress code', 'Free breakfast'];['Sport subscription', 'Training budget', 'Private healthcare', 'Flat structure', 'Small teams', 'International projects', 'Conference budget', 'Flexible working hours', 'Team events'];https://nofluffjobs.com/job/react-native-developer-software-mansion-krakow-j1gu127h
76;['Swift', 'Git', 'CocoaPods', 'Jenkins', 'Objective-C', 'ios'];['English', 'Team player', 'Communication skills', 'Proactivity'];['Agile management', 'Issue tracking tool', 'Knowledge repository', 'Version control system'];['Operating System', 'Computer', 'Monitors'];['Job profile', 'Start', 'Contract duration', 'Paid holiday', 'Part time work', 'Remote possible', 'Flexible hours', 'Travel involved', 'Freedom to choose tools'];['Playroom', 'Shower', 'Modern office', 'No dress code'];['Sport subscription', 'Private healthcare', 'Small teams', 'International projects', 'Multisport'];https://nofluffjobs.com/job/senior-ios-developer-econsulting-warsaw-xwbftmqm
77;['Java', 'Kotlin', 'Git', 'RxJava', 'Dagger', 'Retrofit', 'Gradle', 'MVVM', 'android', 'OkHttp', 'Realm', 'MVC', 'MVP'];['Scrum', 'English', 'Communication skills', 'Proactivity'];['Tester(s)', 'Agile management', 'Issue tracking tool', 'Code reviews'];['Operating System', 'Computer', 'Monitors'];['Job profile', 'Start', 'Contract duration', 'Paid holiday', 'Part time work', 'Remote possible', 'Flexible hours', 'Travel involved', 'Freedom to choose tools'];['Bike parking', 'Shower', 'Modern office'];['Private healthcare'];https://nofluffjobs.com/job/android-developer-madiff-warszawa-1vrf1agv
